,Unnamed: 0,indice,memoria(%),cpu(%),Block-use(bytes),Net-in(bytes),Net-out(bytes),TimeStamp,round
104,168,169,5.1,3.3,8007680,8857494,14558593,1671640370,2
105,193,194,5.2,3.3,9150464,10110899,16617859,1671640395,2
106,248,249,5.2,3.3,12316672,13457552,22277492,1671640450,2
107,68,69,5.0,3.1,3559424,3871150,6420108,1671640269,2
108,166,167,5.1,3.1,7602176,8516515,13900605,1671640368,2
109,245,246,5.2,3.1,11812864,12997849,21428673,1671640447,2
110,41,42,5.0,3.0,2031616,2249152,3677759,1671640242,2
111,120,121,5.1,3.0,6127616,6663476,11064884,1671640321,2
112,169,170,5.1,3.0,8208384,9024294,14883069,1671640371,2
113,222,223,5.2,3.0,11075584,12077546,20016628,1671640424,2
114,242,243,5.2,3.0,11173888,12489921,20449102,1671640444,2
115,16,17,4.9,2.8,897024,993993,1619174,1671640217,2
116,18,19,4.9,2.8,1196032,1263472,2121739,1671640219,2
117,42,43,5.0,2.8,2232320,2416768,4000503,1671640243,2
118,69,70,5.0,2.8,3661824,3972949,6599309,1671640270,2
119,118,119,5.1,2.8,5738496,6349079,10435153,1671640319,2
120,0,1,4.9,50.0,0,0,0,1671640801,3
121,119,120,5.2,10.4,11251712,10815860,19397381,1671640920,3
122,43,44,5.1,9.3,4300800,4136990,7410289,1671640844,3
123,95,96,5.2,9.3,9617408,9095647,16471105,1671640896,3
124,167,168,5.3,9.1,14905344,14395017,25737894,1671640968,3
125,44,45,5.1,8.8,4698112,4464114,8056075,1671640845,3
126,67,68,5.1,8.8,6172672,5985015,10714847,1671640868,3
127,90,91,5.1,8.8,7598080,7458392,13240427,1671640891,3
128,92,93,5.2,8.6,8388608,8113586,14532158,1671640893,3
129,169,170,5.3,8.6,15691776,15046764,27030054,1671640970,3
130,197,198,5.3,8.5,19111936,18185116,32808504,1671640998,3
131,41,42,5.0,8.4,3514368,3476772,6118374,1671640842,3
132,91,92,5.2,8.4,7995392,7787526,13888565,1671640892,3
133,171,172,5.3,8.4,16482304,15711384,28328444,1671640972,3
134,247,248,5.3,8.4,23486464,22458823,40372948,1671641048,3
135,40,41,5.0,8.3,3112960,3146220,5471000,1671640841,3
136,42,43,5.1,8.3,3899392,3804081,6760100,1671640843,3
137,143,144,5.3,8.2,13078528,12592956,22560828,1671640944,3
138,17,18,5.0,8.1,1736704,1696078,3005137,1671640818,3
139,69,70,5.1,8.1,6967296,6641610,12007778,1671640870,3
140,146,147,5.3,8.1,14258176,13575186,24500022,1671640947,3
141,39,40,5.0,8.0,2727936,2818465,4824782,1671640840,3
142,246,247,5.4,7.9,23089152,22122290,39719269,1671641047,3
143,168,169,5.3,7.8,15306752,14722086,26386188,1671640969,3
144,15,16,5.0,7.7,942080,1040187,1711847,1671640816,3
145,145,146,5.3,7.7,13864960,13241968,23850732,1671640946,3
146,172,173,5.3,7.7,16879616,16041142,28974496,1671640973,3
147,14,15,4.9,7.6,499712,710162,1062126,1671640815,3
148,142,143,5.2,7.6,12689408,12263778,21908694,1671640943,3
149,194,195,5.3,7.6,17911808,17190689,30862431,1671640995,3
150,94,95,5.2,7.4,9228288,8767516,15822580,1671640895,3
151,170,171,5.3,7.4,16084992,15371981,27674097,1671640971,3
152,220,221,5.3,7.4,20439040,19645218,35239517,1671641021,3
153,221,222,5.3,7.4,20836352,19987790,35897088,1671641022,3
154,222,223,5.4,7.4,21229568,20324954,36547719,1671641023,3
155,65,66,5.1,7.2,5378048,5318795,9370340,1671640866,3
156,16,17,5.0,7.1,1339392,1364996,2356443,1671640817,3
157,121,122,5.2,7.1,12034048,11446460,20665872,1671640922,3
158,144,145,5.3,7.1,13471744,12918962,23205409,1671640945,3
159,219,220,5.3,7.1,20049920,19323485,34600167,1671641020,3
160,248,249,5.3,7.0,23891968,22786554,41021114,1671641049,3
161,118,119,5.2,6.9,10866688,10485082,18749928,1671640919,3
162,195,196,5.3,6.9,18313216,17525958,31516673,1671640996,3
163,18,19,5.0,6.7,2129920,2019349,3647586,1671640819,3
164,120,121,5.2,6.7,11653120,11144814,20047031,1671640921,3
165,244,245,5.4,6.7,22261760,21465370,38426315,1671641045,3
166,93,94,5.2,6.6,8785920,8443442,15180193,1671640894,3
167,116,117,5.2,6.6,10076160,9830019,17457936,1671640917,3
168,218,219,5.3,6.6,19652608,18990079,33950005,1671641019,3
169,117,118,5.2,6.4,10469376,10157508,18105347,1671640918,3
170,223,224,5.4,6.4,21630976,20658220,37198160,1671641024,3
171,249,250,5.3,6.4,24186880,23017393,41490878,1671641050,3
172,68,69,5.1,6.2,6561792,6310806,11337140,1671640869,3
173,245,246,5.4,6.2,22695936,21793713,39073603,1671641046,3
174,19,20,5.0,5.5,2375680,2226256,4051819,1671640820,3
175,193,194,5.3,5.5,17526784,16867190,30219013,1671640994,3
176,70,71,5.1,5.3,7208960,6839691,12360192,1671640871,3
177,66,67,5.1,5.2,5779456,5650544,10020066,1671640867,3
178,198,199,5.3,5.0,19300352,18375316,33156567,1671640999,3
